tract2010,Bulky Items,Dead Animal Removal,Electronic Waste,Feedback,Graffiti Removal,Homeless Encampment,Illegal Dumping Pickup,Metal/Household Appliances,Multiple Streetlight Issue,Other,Report Water Waste,Single Streetlight Issue
06037267502,1602,38,76,1,446,117,148,236,2,66,4,5
06037267600,1283,46,77,2,623,253,247,215,7,116,4,23
06037267700,1237,41,60,1,411,189,161,219,7,83,7,18
06037267800,1372,77,73,0,658,267,167,298,88,61,4,119
06037267901,26,25,6,0,69,12,18,5,35,38,4,44
06037267902,1359,91,69,0,105,13,57,273,75,40,3,112
06037269000,1517,91,137,0,273,19,121,332,64,51,9,174
06037269100,1911,69,119,0,103,26,257,386,10,54,7,16
06037269300,1365,125,94,1,212,37,67,374,166,60,12,160
06037269500,1608,124,150,1,76,3,57,468,14,51,7,49
06037269601,1206,38,59,0,486,5,217,195,5,24,2,19
06037269602,1069,35,66,2,255,3,128,156,24,22,1,20
06037269700,2435,91,138,1,803,90,273,459,12,41,2,35
06037269800,1579,48,85,0,307,432,255,224,4,60,2,15
06037269903,1433,16,53,0,438,41,179,144,3,36,1,12
06037269904,1798,29,81,0,354,16,229,233,3,36,1,10
06037269905,927,16,38,0,496,35,107,122,1,28,4,4
06037269906,1060,22,45,1,155,10,85,97,0,14,10,8
06037269907,1126,28,59,0,530,44,148,108,3,24,0,7
06037270100,2019,34,85,1,811,275,203,244,14,88,26,17
06037270200,1904,55,105,0,1147,186,267,331,2,65,10,25
06037270300,1722,68,134,1,527,265,298,311,15,63,10,48
06037271100,1430,70,81,0,254,371,156,325,11,36,10,30
06037271200,1309,24,56,2,542,741,307,172,6,78,2,11
06037271300,2581,89,165,2,325,308,307,522,17,86,8,48
06037271400,1556,67,116,1,111,14,91,388,23,66,8,43
06037271500,1320,65,81,1,129,5,56,322,30,35,2,21
06037271600,971,53,47,1,146,132,108,210,16,38,4,12
06037271701,2286,78,130,1,220,102,143,426,4,43,13,8
06037271702,1102,45,72,0,177,335,148,178,12,42,7,12
06037271801,1604,48,91,1,429,290,349,236,2,33,3,10
06037271802,2843,48,147,1,795,20,307,336,5,35,4,4
06037271901,1408,43,96,0,322,279,188,306,5,58,8,11
06037271902,1644,78,91,2,390,89,182,309,6,71,8,27
06037272100,2385,92,141,1,399,51,180,454,5,67,2,5
06037272201,969,19,48,3,201,78,109,118,9,24,1,11
06037272202,1303,26,59,0,272,15,99,165,2,14,3,7
06037272301,1610,26,91,1,207,11,155,236,4,56,1,12
06037272302,2089,32,94,1,639,236,169,169,0,61,16,7
06037273100,1345,58,71,2,317,538,356,291,24,225,12,49
06037273200,2347,54,92,0,809,1200,444,250,10,125,3,21
06037273300,2220,60,86,1,1061,345,415,257,5,112,7,19
06037273402,1296,34,30,1,1621,397,249,176,8,146,7,41
06037273502,1778,53,40,2,2104,392,389,277,9,193,10,52
06037273600,1130,60,53,0,539,369,217,233,4,64,5,8
06037273700,1230,45,56,1,230,74,183,247,8,51,7,29
06037273800,1635,44,64,0,664,177,301,286,5,57,2,25
06037273902,2000,97,86,4,1646,535,403,372,15,144,6,46
06037274100,949,45,49,0,632,259,185,188,2,50,4,17
06037274202,1212,49,67,1,820,118,131,284,20,119,4,58
06037275101,508,25,31,0,361,8,49,85,2,21,3,5
06037275102,1373,50,109,1,1017,13,206,180,3,33,0,5
06037275200,1871,41,120,0,917,34,158,202,1,33,4,4
06037275302,1812,55,122,0,579,238,152,418,10,56,1,16
06037275311,2481,154,185,1,1132,79,229,485,4,56,7,15
06037275400,1447,35,77,1,743,51,173,262,2,51,7,2
06037275500,1412,58,86,0,1303,13,160,215,0,51,1,4
06037275602,911,67,44,1,321,57,40,192,22,62,1,87
06037275603,1273,50,70,1,862,104,194,178,11,100,1,27
06037276000,2629,157,152,0,276,20,96,699,70,92,9,131
06037276100,1525,63,97,1,304,61,306,280,7,69,1,16
06037276400,1706,67,102,1,69,3,47,442,12,46,3,71
06037276500,893,39,76,2,119,18,51,246,7,45,10,23
06037276601,1791,91,110,0,169,30,132,455,4,42,6,21
06037276603,1612,21,74,0,42,10,114,283,1,24,8,9
06037276604,927,47,68,0,72,12,63,197,2,55,3,37
06037277000,2179,82,113,0,247,30,63,658,78,56,9,112
06037277100,1621,79,81,0,163,221,125,370,17,31,2,58
06037277200,732,26,40,0,159,85,166,99,2,31,10,8
06037277400,165,11,23,1,22,21,154,42,2,7,0,1
06037278001,1118,84,75,0,409,107,94,260,22,71,1,32
06037278102,1348,88,91,1,713,83,65,369,7,78,10,22
06037291110,1696,84,148,1,422,14,438,280,11,52,0,17
06037291120,835,62,47,1,722,15,347,125,29,27,0,14
06037291130,1686,119,144,0,708,75,220,330,12,64,1,21
06037291210,1882,75,144,2,1669,93,487,305,15,58,1,15
06037291220,1017,49,88,0,1610,46,259,136,11,26,0,11
06037291300,1148,89,131,0,190,63,192,257,28,55,3,24
06037292000,3226,99,224,0,1438,56,418,492,17,116,2,15
06037293201,2208,68,183,2,1068,6,159,414,7,45,1,27
06037293202,2249,65,153,0,3452,15,348,315,13,31,1,11
06037293301,1174,57,161,0,200,10,57,363,7,29,0,16
06037293302,1495,67,124,0,561,48,185,342,11,54,7,21
06037293304,1602,55,132,0,504,32,263,322,6,25,3,12
06037293306,836,41,63,2,145,31,62,227,11,18,1,2
06037293307,980,23,72,0,411,61,206,165,10,41,0,21
06037294110,1785,71,182,0,818,33,175,432,37,26,1,76
06037294120,1212,36,99,0,632,55,296,172,20,20,0,23
06037294200,2392,124,252,2,1175,29,231,570,14,73,1,23
06037294301,985,50,119,0,495,26,64,267,11,24,1,27
06037294302,2030,103,184,6,1493,57,302,341,28,137,0,23
06037294410,810,69,64,0,687,282,192,155,24,36,5,14
06037294421,798,64,77,0,1142,40,171,166,27,24,1,24
06037294510,2106,59,187,0,796,4,267,390,1,39,0,11
06037294520,1707,53,166,2,1226,17,318,306,5,35,0,15
